file	RefSeq_assembly_accession	species_taxid	organism_name	infraspecific_name	species	genus	family	order	class	phylum	superkingdom
GCF_017726655.1_ASM1772665v1_genomic.gbff	GCF_017726655.1	358	Agrobacterium tumefaciens	strain=6N2	Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_017742875.1_ASM1774287v1_genomic.gbff	GCF_017742875.1	1590	Lactiplantibacillus plantarum	strain=LRCC5314	Lactiplantibacillus plantarum	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_017753665.1_ASM1775366v1_genomic.gbff	GCF_017753665.1	490	Neisseria sicca	strain=NS20201025	Neisseria sicca	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900089455.2_OrrDiv2_genomic.gbff	GCF_900089455.2	1851544	Orrella dioscoreae		Orrella dioscoreae	Orrella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900093775.1_EVONIK_BGLY_genomic.gbff	GCF_900093775.1	1664069	Bacillus glycinifermentans		Bacillus glycinifermentans	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_900478165.1_48290_A02_genomic.gbff	GCF_900478165.1	1467	Lederbergia lentus	strain=NCTC4824	Lederbergia lentus	Lederbergia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_002055535.1_NCTC8198_genomic.gbff	GCF_002055535.1	1314	Streptococcus pyogenes	strain=NCTC8198	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_016939495.1_ASM1693949v1_genomic.gbff	GCF_016939495.1	548	Klebsiella aerogenes	strain=EA46506	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_900520365.1_ASM90052036v1_genomic.gbff	GCF_900520365.1	562	Escherichia coli		Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003287125.1_ASM328712v1_genomic.gbff	GCF_003287125.1	1773	Mycobacterium tuberculosis	strain=H54	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_016028795.1_ASM1602879v1_genomic.gbff	GCF_016028795.1	69966	Macrococcus caseolyticus	strain=FDAARGOS_868	Macrococcus caseolyticus	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_016127915.1_ASM1612791v1_genomic.gbff	GCF_016127915.1	1303	Streptococcus oralis	strain=FDAARGOS_1021	Streptococcus oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_000740965.1_ASM74096v1_genomic.gbff	GCF_000740965.1	29471	Pectobacterium atrosepticum	strain=21A	Pectobacterium atrosepticum	Pectobacterium	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_000766885.2_ASM76688v2_genomic.gbff	GCF_000766885.2	161896	Corynebacterium camporealensis	strain=CIP 105508	Corynebacterium camporealensis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_002073235.2_ASM207323v2_genomic.gbff	GCF_002073235.2	487	Neisseria meningitidis	strain=FDAARGOS_214	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_002080395.1_ASM208039v1_genomic.gbff	GCF_002080395.1	28898	Campylobacter helveticus	strain=ATCC 51209	Campylobacter helveticus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_002984195.1_ASM298419v1_genomic.gbff	GCF_002984195.1	587	Providencia rettgeri	strain=FDAARGOS_330	Providencia rettgeri	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003971305.1_ASM397130v1_genomic.gbff	GCF_003971305.1	480	Moraxella catarrhalis	strain=142P87B1	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003971325.1_ASM397132v1_genomic.gbff	GCF_003971325.1	480	Moraxella catarrhalis	strain=46P58B1	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003971345.1_ASM397134v1_genomic.gbff	GCF_003971345.1	480	Moraxella catarrhalis	strain=74P58B1	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003971365.1_ASM397136v1_genomic.gbff	GCF_003971365.1	480	Moraxella catarrhalis	strain=5P47B2	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003971445.1_ASM397144v1_genomic.gbff	GCF_003971445.1	1661	Trueperella pyogenes	strain=TP1	Trueperella pyogenes	Trueperella	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
GCF_900476085.1_50569_G01_genomic.gbff	GCF_900476085.1	2096	Mycoplasma gallisepticum	strain=NCTC10115	Mycoplasma gallisepticum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
GCF_016028735.1_ASM1602873v1_genomic.gbff	GCF_016028735.1	90244	Oligella ureolytica	strain=FDAARGOS_872	Oligella ureolytica	Oligella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900475335.1_42912_D01_genomic.gbff	GCF_900475335.1	1314	Streptococcus pyogenes	strain=NCTC8322	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_005221305.1_ASM522130v1_genomic.gbff	GCF_005221305.1	28449	Neisseria subflava	strain=ATCC 49275	Neisseria subflava	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001047255.1_ASM104725v1_genomic.gbff	GCF_001047255.1	485	Neisseria gonorrhoeae	strain=FA6140	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001047275.1_ASM104727v1_genomic.gbff	GCF_001047275.1	485	Neisseria gonorrhoeae	strain=35/02	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001047635.1_ASM104763v1_genomic.gbff	GCF_001047635.1	173	Leptospira interrogans serovar Manilae	strain=UP-MMC-NIID LP	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
GCF_001661115.1_ASM166111v1_genomic.gbff	GCF_001661115.1	485	Neisseria gonorrhoeae	strain=34530	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001661135.1_ASM166113v1_genomic.gbff	GCF_001661135.1	485	Neisseria gonorrhoeae	strain=34769	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001661675.2_ASM166167v2_genomic.gbff	GCF_001661675.2	450378	Croceicoccus marinus	strain=E4A9	Croceicoccus marinus	Croceicoccus	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_002073555.2_ASM207355v2_genomic.gbff	GCF_002073555.2	487	Neisseria meningitidis	strain=FDAARGOS_211	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_002073635.2_ASM207363v2_genomic.gbff	GCF_002073635.2	147645	Paracoccus yeei	strain=FDAARGOS_252	Paracoccus yeei	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
GCF_002073675.2_ASM207367v2_genomic.gbff	GCF_002073675.2	487	Neisseria meningitidis	strain=FDAARGOS_212	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003571465.1_ASM357146v1_genomic.gbff	GCF_003571465.1	485	Neisseria gonorrhoeae	strain=RIVM0640	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003571505.1_ASM357150v1_genomic.gbff	GCF_003571505.1	287	Pseudomonas aeruginosa	strain=N15-01092	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003855195.1_ASM385519v1_genomic.gbff	GCF_003855195.1	485	Neisseria gonorrhoeae	strain=FQ36	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003855215.1_ASM385521v1_genomic.gbff	GCF_003855215.1	485	Neisseria gonorrhoeae	strain=FQ48	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087625.2_WHOO_genomic.gbff	GCF_900087625.2	485	Neisseria gonorrhoeae	strain=WHO O	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003855235.1_ASM385523v1_genomic.gbff	GCF_003855235.1	485	Neisseria gonorrhoeae	strain=FQ04	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003855275.1_ASM385527v1_genomic.gbff	GCF_003855275.1	492670	Bacillus velezensis	strain=BCSo1	Bacillus velezensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_003855315.1_ASM385531v1_genomic.gbff	GCF_003855315.1	573	Klebsiella pneumoniae	strain=KP_NORM_BLD_2014_104014	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003855375.1_ASM385537v1_genomic.gbff	GCF_003855375.1	485	Neisseria gonorrhoeae	strain=FQ02	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003855395.1_ASM385539v1_genomic.gbff	GCF_003855395.1	150120	Shewanella livingstonensis	strain=LMG 19866	Shewanella livingstonensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003855435.1_ASM385543v1_genomic.gbff	GCF_003855435.1	485	Neisseria gonorrhoeae	strain=FQ01	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_003855455.1_ASM385545v1_genomic.gbff	GCF_003855455.1	538220	Mycoplasma struthionis	strain=237IA	Mycoplasma struthionis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
GCF_004001165.1_ASM400116v1_genomic.gbff	GCF_004001165.1	485	Neisseria gonorrhoeae	strain=FC460	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_004001185.1_ASM400118v1_genomic.gbff	GCF_004001185.1	485	Neisseria gonorrhoeae	strain=FC498	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_004001205.1_ASM400120v1_genomic.gbff	GCF_004001205.1	33970	Melissococcus plutonius	strain=DAT585	Melissococcus plutonius	Melissococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_004332555.2_ASM433255v2_genomic.gbff	GCF_004332555.2	485	Neisseria gonorrhoeae	strain=TFG-B2	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_004337595.1_ASM433759v1_genomic.gbff	GCF_004337595.1	40214	Acinetobacter johnsonii	strain=M19	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_007107365.1_ASM710736v1_genomic.gbff	GCF_007107365.1	485	Neisseria gonorrhoeae	strain=NJ189125	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_007107525.1_ASM710752v1_genomic.gbff	GCF_007107525.1	470	Acinetobacter baumannii	strain=J9	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_008065095.1_ASM806509v1_genomic.gbff	GCF_008065095.1	114	Gemmata obscuriglobus	strain=DSM 5831	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
GCF_009650115.1_ASM965011v1_genomic.gbff	GCF_009650115.1	28903	Mycoplasma bovis	strain=XBY01	Mycoplasma bovis	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
GCF_011058655.1_ASM1105865v1_genomic.gbff	GCF_011058655.1	485	Neisseria gonorrhoeae	strain=NG251	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_011058675.1_ASM1105867v1_genomic.gbff	GCF_011058675.1	485	Neisseria gonorrhoeae	strain=NG196	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_011058695.1_ASM1105869v1_genomic.gbff	GCF_011058695.1	147802	Lactobacillus iners	strain=C0094A1	Lactobacillus iners	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_013030075.1_ASM1303007v1_genomic.gbff	GCF_013030075.1	485	Neisseria gonorrhoeae	strain=TUM19854	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_013030095.1_ASM1303009v1_genomic.gbff	GCF_013030095.1	485	Neisseria gonorrhoeae	strain=TUM15748	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_013030115.1_ASM1303011v1_genomic.gbff	GCF_013030115.1	485	Neisseria gonorrhoeae	strain=TUM15753	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_013030135.1_ASM1303013v1_genomic.gbff	GCF_013030135.1	485	Neisseria gonorrhoeae	strain=TUM16691	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_013046805.1_ASM1304680v1_genomic.gbff	GCF_013046805.1	1718	Corynebacterium glutamicum	strain=BE	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_014701095.1_ASM1470109v1_genomic.gbff	GCF_014701095.1	68278	Streptomyces tuirus	strain=JCM 4255	Streptomyces tuirus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria
GCF_015534935.1_ASM1553493v1_genomic.gbff	GCF_015534935.1	562	Escherichia coli K-12	strain=CETR3G40	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_016775805.1_ASM1677580v1_genomic.gbff	GCF_016775805.1	562	Escherichia coli	strain=RIVM_C030256	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_016802335.1_ASM1680233v1_genomic.gbff	GCF_016802335.1	485	Neisseria gonorrhoeae	strain=SRRSH229	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802355.1_ASM1680235v1_genomic.gbff	GCF_016802355.1	485	Neisseria gonorrhoeae	strain=SRRSH214	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802385.1_ASM1680238v1_genomic.gbff	GCF_016802385.1	485	Neisseria gonorrhoeae	strain=SRRSH207	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802405.1_ASM1680240v1_genomic.gbff	GCF_016802405.1	485	Neisseria gonorrhoeae	strain=SRRSH205	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802425.1_ASM1680242v1_genomic.gbff	GCF_016802425.1	485	Neisseria gonorrhoeae	strain=SRRSH204	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802445.1_ASM1680244v1_genomic.gbff	GCF_016802445.1	485	Neisseria gonorrhoeae	strain=SRRSH203	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_016802645.1_ASM1680264v1_genomic.gbff	GCF_016802645.1	1639	Listeria monocytogenes	strain=LM928	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_900087635.2_WHOF_genomic.gbff	GCF_900087635.2	485	Neisseria gonorrhoeae	strain=WHO F	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087645.2_WHOW_genomic.gbff	GCF_900087645.2	485	Neisseria gonorrhoeae	strain=WHO_W	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087655.1_PFRJS14_genomic.gbff	GCF_900087655.1	1744	Propionibacterium freudenreichii		Propionibacterium freudenreichii	Propionibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_900087715.2_WHOZ_genomic.gbff	GCF_900087715.2	485	Neisseria gonorrhoeae	strain=WHO_Z	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087725.2_WHON_genomic.gbff	GCF_900087725.2	485	Neisseria gonorrhoeae	strain=WHO N	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087735.2_WHOP_genomic.gbff	GCF_900087735.2	485	Neisseria gonorrhoeae	strain=WHO P	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087785.2_WHOG_genomic.gbff	GCF_900087785.2	485	Neisseria gonorrhoeae	strain=WHO G	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087795.2_WHOV_genomic.gbff	GCF_900087795.2	485	Neisseria gonorrhoeae	strain=WHO_V	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087815.2_WHOX_genomic.gbff	GCF_900087815.2	485	Neisseria gonorrhoeae	strain=WHO_X	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087865.2_WHOK_genomic.gbff	GCF_900087865.2	485	Neisseria gonorrhoeae	strain=WHO K	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087875.2_WHOL_genomic.gbff	GCF_900087875.2	485	Neisseria gonorrhoeae	strain=WHO L	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900087905.2_WHOU_genomic.gbff	GCF_900087905.2	485	Neisseria gonorrhoeae	strain=WHO_U	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900088425.1_A12_genomic.gbff	GCF_900088425.1	1358	Lactococcus lactis subsp. lactis	strain=A12	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_900186885.1_48903_D01_genomic.gbff	GCF_900186885.1	29466	Veillonella parvula	strain=NCTC11810	Veillonella parvula	Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
GCF_900186925.1_48450_B02_genomic.gbff	GCF_900186925.1	446	Legionella pneumophila	strain=NCTC11985	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_900186945.1_48903_E01_genomic.gbff	GCF_900186945.1	34085	Riemerella anatipestifer	strain=NCTC11014	Riemerella anatipestifer	Riemerella	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
GCF_900637265.1_50432_C01_genomic.gbff	GCF_900637265.1	217204	Achromobacter insolitus	strain=NCTC13520	Achromobacter insolitus	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_002023005.1_ASM202300v1_genomic.gbff	GCF_002023005.1	347	Xanthomonas oryzae pv. oryzae	strain=XF89b	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003351585.1_ASM335158v1_genomic.gbff	GCF_003351585.1	727	Haemophilus influenzae	strain=M25588	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_901482545.1_45076_F01_genomic.gbff	GCF_901482545.1	1719	Corynebacterium pseudotuberculosis	strain=NCTC4656	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_000626615.2_ASM62661v3_genomic.gbff	GCF_000626615.2	1280	Staphylococcus aureus	strain=FDAARGOS_5	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_000788395.1_ASM78839v1_genomic.gbff	GCF_000788395.1	1348114	Pseudoalteromonas piratica	strain=OCN003	Pseudoalteromonas piratica	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_000800255.1_ASM80025v1_genomic.gbff	GCF_000800255.1	157782	Pseudomonas parafulva	strain=CRS01-1	Pseudomonas parafulva	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_000800335.1_ASM80033v1_genomic.gbff	GCF_000800335.1	1639	Listeria monocytogenes	strain=NTSN	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_000800395.1_ASM80039v1_genomic.gbff	GCF_000800395.1	1182571	Deinococcus swuensis	strain=DY59	Deinococcus swuensis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
GCF_000800455.1_ASM80045v1_genomic.gbff	GCF_000800455.1	1686	Bifidobacterium kashiwanohense PV20-2	strain=PV20-2	Bifidobacterium catenulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_001029835.1_ASM102983v1_genomic.gbff	GCF_001029835.1	487	Neisseria meningitidis M0579	strain=M0579	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697125.1_ASM169712v1_genomic.gbff	GCF_001697125.1	487	Neisseria meningitidis	strain=DE10444	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697145.1_ASM169714v1_genomic.gbff	GCF_001697145.1	1328	Streptococcus anginosus	strain=J4206	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_001697185.1_ASM169718v1_genomic.gbff	GCF_001697185.1	1790137	Wenyingzhuangia fucanilytica	strain=CZ1127	Wenyingzhuangia fucanilytica	Wenyingzhuangia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
GCF_001697225.1_ASM169722v1_genomic.gbff	GCF_001697225.1	1810504	Immundisolibacter cernigliae	strain=TR3.2	Immundisolibacter cernigliae	Immundisolibacter	Immundisolibacteraceae	Immundisolibacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_001697325.1_ASM169732v1_genomic.gbff	GCF_001697325.1	487	Neisseria meningitidis	strain=M12752	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697345.1_ASM169734v1_genomic.gbff	GCF_001697345.1	487	Neisseria meningitidis	strain=M22819	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697365.1_ASM169736v1_genomic.gbff	GCF_001697365.1	487	Neisseria meningitidis	strain=M22809	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697385.1_ASM169738v1_genomic.gbff	GCF_001697385.1	487	Neisseria meningitidis	strain=M09293	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697405.1_ASM169740v1_genomic.gbff	GCF_001697405.1	487	Neisseria meningitidis	strain=M22189	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697425.1_ASM169742v1_genomic.gbff	GCF_001697425.1	487	Neisseria meningitidis	strain=M07149	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697445.1_ASM169744v1_genomic.gbff	GCF_001697445.1	487	Neisseria meningitidis	strain=M25474	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697465.1_ASM169746v1_genomic.gbff	GCF_001697465.1	487	Neisseria meningitidis	strain=M08001	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_900343015.1_ARADv1_genomic.gbff	GCF_900343015.1	235559	Arsenophonus endosymbiont of Aleurodicus dispersus	strain=ARAD	Arsenophonus endosymbiont of Aleurodicus dispersus	Arsenophonus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_001697485.1_ASM169748v1_genomic.gbff	GCF_001697485.1	487	Neisseria meningitidis	strain=M22748	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697505.1_ASM169750v1_genomic.gbff	GCF_001697505.1	487	Neisseria meningitidis	strain=M22811	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_001697525.1_ASM169752v1_genomic.gbff	GCF_001697525.1	487	Neisseria meningitidis	strain=M22772	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
