organism_name,infraspecific_name,species,genus,family,order,class,phylum,superkingdom
Conexivisphaera calida,strain=NAS-02,Conexivisphaera calida,Conexivisphaera,Conexivisphaeraceae,Conexivisphaerales,Conexivisphaeria,Thaumarchaeota,Archaea
Coprococcus comes,strain=FDAARGOS_1339,Coprococcus comes,Coprococcus,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Coprothermobacter proteolyticus DSM 5265,strain=DSM 5265,Coprothermobacter proteolyticus,Coprothermobacter,Coprothermobacteraceae,Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,Bacteria
Coraliomargarita akajimensis DSM 45221,strain=DSM 45221,Coraliomargarita akajimensis,Coraliomargarita,Puniceicoccaceae,Puniceicoccales,Opitutae,Verrucomicrobia,Bacteria
Corallococcus macrosporus DSM 14697,strain=DSM 14697,Corallococcus macrosporus,Corallococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Coriobacterium glomerans PW2,strain=PW2,Coriobacterium glomerans,Coriobacterium,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria
Corynebacterium stationis,strain=LMG 21670,Corynebacterium stationis,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Costertonia aggregata,strain=KCCM 42265,Costertonia aggregata,Costertonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Coxiella burnetii,strain=nine mile phase II,Coxiella burnetii,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
Crinalium epipsammum PCC 9333,strain=PCC 9333,Crinalium epipsammum,Crinalium,Gomontiellaceae,Oscillatoriales,,Cyanobacteria,Bacteria
Croceibacter atlanticus HTCC2559,strain=HTCC2559,Croceibacter atlanticus,Croceibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Croceicoccus marinus,strain=E4A9,Croceicoccus marinus,Croceicoccus,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Crocosphaera subtropica ATCC 51142,strain=ATCC 51142,Crocosphaera subtropica,Crocosphaera,Aphanothecaceae,Chroococcales,,Cyanobacteria,Bacteria
Cronobacter universalis NCTC 9529,strain=NCTC 9529,Cronobacter universalis,Cronobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Cruoricaptor ignavus,strain=M1214,Cruoricaptor ignavus,Cruoricaptor,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Cryobacterium sp. LW097,strain=LW097,Cryobacterium sp. LW097,Cryobacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Cryptobacterium curtum DSM 15641,strain=DSM 15641,Cryptobacterium curtum,Cryptobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Cuniculiplasma divulgatum,strain=S5(T) (=JCM 30642; =VKM B-2941),Cuniculiplasma divulgatum,Cuniculiplasma,Cuniculiplasmataceae,Thermoplasmatales,Thermoplasmata,Candidatus Thermoplasmatota,Archaea
Cupriavidus pauculus,strain=FDAARGOS_664,Cupriavidus pauculus,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Curtobacterium flaccumfaciens pv. flaccumfaciens,strain=P990,Curtobacterium flaccumfaciens,Curtobacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Cutibacterium granulosum,strain=NCTC11865,Cutibacterium granulosum,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Cyanobacterium aponinum PCC 10605,strain=PCC 10605,Cyanobacterium aponinum,Cyanobacterium,Geminocystaceae,Chroococcales,,Cyanobacteria,Bacteria
Cyanobium sp. NIES-981,strain=NIES-981,Cyanobium sp. NIES-981,Cyanobium,Synechococcaceae,Synechococcales,,Cyanobacteria,Bacteria
Cyanothece sp. PCC 7425,strain=PCC 7425,Cyanothece sp. PCC 7425,Cyanothece,Cyanothecaceae,Oscillatoriales,,Cyanobacteria,Bacteria
Cyclobacterium amurskyense,strain=KCTC 12363,Cyclobacterium amurskyense,Cyclobacterium,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Cycloclasticus sp. PY97N,strain=PY97N,Cycloclasticus sp. PY97N,Cycloclasticus,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Cystobacter fuscus,strain=DSM 52655,Cystobacter fuscus,Cystobacter,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Cytobacillus ciccensis,strain=5L6,Cytobacillus ciccensis,Cytobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Cytophaga hutchinsonii ATCC 33406,strain=ATCC 33406,Cytophaga hutchinsonii,Cytophaga,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Dactylococcopsis salina PCC 8305,strain=PCC 8305,Dactylococcopsis salina,Dactylococcopsis,Synechococcaceae,Synechococcales,,Cyanobacteria,Bacteria
Dechloromonas aromatica RCB,strain=RCB,Dechloromonas aromatica,Dechloromonas,Azonexaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Deferribacter desulfuricans SSM1,strain=SSM1,Deferribacter desulfuricans,Deferribacter,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria
Defluviicoccus vanus,strain=Ben 114,Defluviicoccus vanus,Defluviicoccus,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Defluviimonas alba,strain=cai42,Defluviimonas alba,Defluviimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Defluviitoga tunisiensis,,Defluviitoga tunisiensis,Defluviitoga,Petrotogaceae,Petrotogales,Thermotogae,Thermotogae,Bacteria
Dehalobacter restrictus,strain=12DCA,Dehalobacter restrictus,Dehalobacter,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Dehalobacterium formicoaceticum,strain=DMC,Dehalobacterium formicoaceticum,Dehalobacterium,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Dehalococcoides mccartyi,strain=KBVC2,Dehalococcoides mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi,Bacteria
Dehalogenimonas formicexedens,strain=NSZ-14,Dehalogenimonas formicexedens,Dehalogenimonas,,,Dehalococcoidia,Chloroflexi,Bacteria
Deinococcus swuensis,strain=DY59,Deinococcus swuensis,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria
Delftia acidovorans,strain=B804,Delftia acidovorans,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Denitratisoma oestradiolicum,strain=DSM 16959,Denitratisoma oestradiolicum,Denitratisoma,Sterolibacteriaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Denitrobacterium detoxificans,strain=NPOH1,Denitrobacterium detoxificans,Denitrobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Denitrovibrio acetiphilus DSM 12809,strain=DSM 12809,Denitrovibrio acetiphilus,Denitrovibrio,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria
Dermabacter vaginalis,strain=AD1-86,Dermabacter vaginalis,Dermabacter,Dermabacteraceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Dermacoccus nishinomiyaensis,strain=M25,Dermacoccus nishinomiyaensis,Dermacoccus,Dermacoccaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Dermatophilus congolensis,strain=NCTC13039,Dermatophilus congolensis,Dermatophilus,Dermatophilaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Desulfallas gibsoniae DSM 7213,strain=DSM 7213,Desulfallas gibsoniae,Desulfallas,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Desulfarculus baarsii DSM 2075,strain=DSM 2075,Desulfarculus baarsii,Desulfarculus,Desulfarculaceae,Desulfarculales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfatibacillum aliphaticivorans,strain=AK-1,Desulfatibacillum aliphaticivorans,Desulfatibacillum,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfitobacterium hafniense DCB-2,strain=DCB-2,Desulfitobacterium hafniense,Desulfitobacterium,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Desulfobacca acetoxidans DSM 11109,strain=DSM 11109,Desulfobacca acetoxidans,Desulfobacca,Syntrophaceae,Syntrophobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfobacterium autotrophicum HRM2,strain=HRM2,Desulfobacterium autotrophicum,Desulfobacterium,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfobacula toluolica Tol2,strain=Tol2,Desulfobacula toluolica,Desulfobacula,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfobulbus oralis,strain=HOT041/ORNL,Desulfobulbus oralis,Desulfobulbus,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfocapsa sulfexigens DSM 10523,strain=DSM 10523,Desulfocapsa sulfexigens,Desulfocapsa,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfococcus multivorans,strain=DSM 2059,Desulfococcus multivorans,Desulfococcus,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfocurvibacter africanus subsp. africanus str. Walvis Bay,strain=Walvis Bay,Desulfocurvibacter africanus,Desulfocurvibacter,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfofarcimen acetoxidans DSM 771,strain=DSM 771,Desulfofarcimen acetoxidans,Desulfofarcimen,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Desulfoglaeba alkanexedens ALDC,strain=ALDC,Desulfoglaeba alkanexedens,Desulfoglaeba,Syntrophobacteraceae,Syntrophobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfohalobium retbaense DSM 5692,strain=DSM 5692,Desulfohalobium retbaense,Desulfohalobium,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfomicrobium orale DSM 12838,strain=DSM 12838,Desulfomicrobium orale,Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfomonile tiedjei DSM 6799,strain=DSM 6799,Desulfomonile tiedjei,Desulfomonile,Syntrophaceae,Syntrophobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfonema limicola,strain=5ac10,Desulfonema limicola,Desulfonema,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfosarcina alkanivorans,strain=PL12,Desulfosarcina alkanivorans,Desulfosarcina,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfosporosinus orientis DSM 765,strain=DSM 765,Desulfosporosinus orientis,Desulfosporosinus,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Desulfotalea psychrophila LSv54,strain=LSv54,Desulfotalea psychrophila,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfotomaculum ferrireducens,strain=GSS09,Desulfotomaculum ferrireducens,Desulfotomaculum,Peptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Desulfovibrio sp. G11,,Desulfovibrio sp. G11,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfurispirillum indicum S5,strain=S5,Desulfurispirillum indicum,Desulfurispirillum,Chrysiogenaceae,Chrysiogenales,Chrysiogenetes,Chrysiogenetes,Bacteria
Desulfurivibrio alkaliphilus AHT 2,strain=AHT 2,Desulfurivibrio alkaliphilus,Desulfurivibrio,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
Desulfurobacterium thermolithotrophum DSM 11699,strain=DSM 11699,Desulfurobacterium thermolithotrophum,Desulfurobacterium,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificae,Bacteria
Desulfurococcus amylolyticus 1221n,strain=1221n,Desulfurococcus amylolyticus,Desulfurococcus,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
Desulfuromonas sp. DDH964,strain=DDH964,Desulfuromonas sp. DDH964,Desulfuromonas,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria
Devosia sp. A16,strain=A16,Devosia sp. A16,Devosia,Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Devriesea agamarum,strain=IMP2,Devriesea agamarum,Devriesea,Dermabacteraceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Dialister pneumosintes,strain=F0677,Dialister pneumosintes,Dialister,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Bacteria
Diaphorobacter aerolatus,strain=KACC 16536,Diaphorobacter aerolatus,Diaphorobacter,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Dichelobacter nodosus VCS1703A,strain=VCS1703A,Dichelobacter nodosus,Dichelobacter,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
Dickeya dadantii,strain=DSM 18020,Dickeya dadantii,Dickeya,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Dictyoglomus thermophilum H-6-12,strain=H-6-12; ATCC 35947,Dictyoglomus thermophilum,Dictyoglomus,Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomi,Bacteria
Dietzia lutea,strain=YIM 80766,Dietzia lutea,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Dinoroseobacter shibae DFL 12 = DSM 16493,strain=DFL 12,Dinoroseobacter shibae,Dinoroseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Dokdonella koreensis DS-123,strain=DS-123,Dokdonella koreensis,Dokdonella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Dokdonia donghaensis DSW-1,strain=DSW-1,Dokdonia donghaensis,Dokdonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Dolichospermum sp. UHCC 0315A,strain=UHCC 0315A,Dolichospermum sp. UHCC 0315A,Dolichospermum,Aphanizomenonaceae,Nostocales,,Cyanobacteria,Bacteria
Dolosigranulum pigrum,strain=83VPs-KB5,Dolosigranulum pigrum,Dolosigranulum,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Dongshaea marina,strain=DM2,Dongshaea marina,Dongshaea,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Draconibacterium orientale,strain=Draconibacterium orientale type strain FH5T,Draconibacterium orientale,Draconibacterium,Prolixibacteraceae,Marinilabiliales,Bacteroidia,Bacteroidetes,Bacteria
Dyadobacter fermentans DSM 18053,strain=DSM 18053,Dyadobacter fermentans,Dyadobacter,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Dyella thiooxydans,strain=ATSB10,Dyella thiooxydans,Dyella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Echinicola strongylocentroti,strain=MEBiC08714,Echinicola strongylocentroti,Echinicola,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Ectothiorhodospira sp. BSL-9,strain=BSL-9,Ectothiorhodospira sp. BSL-9,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
Edwardsiella ictaluri,strain=RUSVM-1,Edwardsiella ictaluri,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Eggerthella sp. YY7918,strain=YY7918,Eggerthella sp. YY7918,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Egibacter rhizosphaerae,strain=EGI 80759,Egibacter rhizosphaerae,Egibacter,Egibacteraceae,Egibacterales,Nitriliruptoria,Actinobacteria,Bacteria
Egicoccus halophilus,strain=EGI 80432,Egicoccus halophilus,Egicoccus,Egicoccaceae,Egicoccales,Nitriliruptoria,Actinobacteria,Bacteria
Ehrlichia chaffeensis str. Heartland,strain=Heartland,Ehrlichia chaffeensis,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
Eikenella corrodens,strain=NCTC10596,Eikenella corrodens,Eikenella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Elizabethkingia miricola,strain=BM10,Elizabethkingia miricola,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Elusimicrobium minutum Pei191,strain=Pei191,Elusimicrobium minutum,Elusimicrobium,Elusimicrobiaceae,Elusimicrobiales,Elusimicrobia,Elusimicrobia,Bacteria
Empedobacter falsenii,strain=1681-1,Empedobacter falsenii,Empedobacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Endomicrobium proavitum,strain=Rsa215,Endomicrobium proavitum,Endomicrobium,Endomicrobiaceae,Endomicrobiales,Endomicrobia,Elusimicrobia,Bacteria
Ensifer adhaerens,strain=Corn53,Ensifer adhaerens,Ensifer,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Enterobacter asburiae,strain=CAV1043,Enterobacter asburiae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Enterocloster bolteae,strain=FDAARGOS_1231,Enterocloster bolteae,Enterocloster,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Enterococcus faecium,strain=Dallas 91,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Entomoplasma freundtii,strain=BARC 318,Entomoplasma freundtii,Entomoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
Epibacterium mobile,,Epibacterium mobile,Epibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Epidermidibacterium keratini,strain=EPI-7,Epidermidibacterium keratini,Epidermidibacterium,Sporichthyaceae,Sporichthyales,Actinomycetia,Actinobacteria,Bacteria
Chryseobacterium lactis,strain=KC_1864,Chryseobacterium lactis,Epilithonimonas,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Erwinia gerundensis,,Erwinia gerundensis,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
[Clostridium] innocuum,strain=LC-LUMC-CI-001,[Clostridium] innocuum,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
Erysipelothrix rhusiopathiae,strain=ZJ,Erysipelothrix rhusiopathiae,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
Erythrobacter sp. KY5,strain=KY5,Erythrobacter sp. KY5,Erythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Escherichia coli,strain=CRE1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Ethanoligenens harbinense,strain=W1,Ethanoligenens harbinense,Ethanoligenens,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Eubacterium limosum,strain=SA11,Eubacterium limosum,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Euhalothece natronophila Z-M001,strain=Z-M001,Euhalothece natronophila,Euhalothece,Aphanothecaceae,Chroococcales,,Cyanobacteria,Bacteria
Euzebya sp. DY32-46,strain=DY32-46,Euzebya sp. DY32-46,Euzebya,Euzebyaceae,Euzebyales,Nitriliruptoria,Actinobacteria,Bacteria
Euzebyella marina,strain=RN62,Euzebyella marina,Euzebyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Ewingella americana,strain=B6-1,Ewingella americana,Ewingella,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Exiguobacterium mexicanum,strain=A-EM,Exiguobacterium mexicanum,Exiguobacterium,,Bacillales,Bacilli,Firmicutes,Bacteria
Ezakiella massiliensis,strain=Marseille-P2951T,Ezakiella massiliensis,Ezakiella,,,Tissierellia,Firmicutes,Bacteria
Faecalibacillus intestinalis,strain=14EGH31,Faecalibacillus intestinalis,Faecalibacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
Faecalibacterium prausnitzii,strain=APC918/95b,Faecalibacterium prausnitzii,Faecalibacterium,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Faecalibaculum rodentium,strain=ALO17,Faecalibaculum rodentium,Faecalibaculum,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
Fannyhessea vaginae,strain=FDAARGOS_934,Fannyhessea vaginae,Fannyhessea,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Fastidiosipila sanguinis,strain=CCUG 47711,Fastidiosipila sanguinis,Fastidiosipila,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Ferrimonas balearica DSM 9799,strain=DSM 9799,Ferrimonas balearica,Ferrimonas,Ferrimonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Ferriphaselus amnicola,strain=OYT1,Ferriphaselus amnicola,Ferriphaselus,Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Ferroglobus placidus DSM 10642,strain=DSM 10642,Ferroglobus placidus,Ferroglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea
Ferroplasma acidarmanus fer1,strain=fer1,Ferroplasma acidarmanus,Ferroplasma,Ferroplasmaceae,Thermoplasmatales,Thermoplasmata,Candidatus Thermoplasmatota,Archaea
Fervidicoccus fontis Kam940,strain=Kam940,Fervidicoccus fontis,Fervidicoccus,Fervidicoccaceae,Fervidicoccales,Thermoprotei,Crenarchaeota,Archaea
Fervidobacterium islandicum,strain=AW-1,Fervidobacterium islandicum,Fervidobacterium,Fervidobacteriaceae,Thermotogales,Thermotogae,Thermotogae,Bacteria
Fibrella sp. ES10-3-2-2,strain=ES10-3-2-2,Fibrella sp. ES10-3-2-2,Fibrella,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Fibrobacter succinogenes subsp. succinogenes S85,strain=S85,Fibrobacter succinogenes,Fibrobacter,Fibrobacteraceae,Fibrobacterales,Fibrobacteria,Fibrobacteres,Bacteria
Fictibacillus phosphorivorans,strain=G25-29,Fictibacillus phosphorivorans,Fictibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Filifactor alocis ATCC 35896,strain=ATCC 35896,Filifactor alocis,Filifactor,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Filimonas lacunae,strain=NBRC 104114,Filimonas lacunae,Filimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,Bacteria
Candidatus Filomicrobium marinum,strain=strain Y,Candidatus Filomicrobium marinum,Filomicrobium,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Fimbriimonas ginsengisoli Gsoil 348,strain=GSoil 348,Fimbriimonas ginsengisoli,Fimbriimonas,Fimbriimonadaceae,Fimbriimonadales,Fimbriimonadia,Armatimonadetes,Bacteria
Finegoldia magna,strain=FDAARGOS_764,Finegoldia magna,Finegoldia,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria
Fischerella sp. NIES-3754,strain=NIES-3754,Fischerella sp. NIES-3754,Fischerella,Hapalosiphonaceae,Nostocales,,Cyanobacteria,Bacteria
Flagellimonas maritima,strain=HME9304,Flagellimonas maritima,Flagellimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Flammeovirga sp. MY04,strain=MY04,Flammeovirga sp. MY04,Flammeovirga,Flammeovirgaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Flaviflexus salsibiostraticola,strain=KCTC 33148,Flaviflexus salsibiostraticola,Flaviflexus,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Flavisolibacter tropicus,strain=LCS9,Flavisolibacter tropicus,Flavisolibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,Bacteria
Flavivirga eckloniae,strain=ECD14,Flavivirga eckloniae,Flavivirga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Flavobacterium sp. MDT1-60,strain=MDT1-60,Flavobacterium sp. MDT1-60,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Flavonifractor plautii,strain=JCM 32125,Flavonifractor plautii,Flavonifractor,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Flexistipes sinusarabici DSM 4947,strain=DSM 4947,Flexistipes sinusarabici,Flexistipes,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria
Fluviibacter phosphoraccumulans,strain=SHINM1,Fluviibacter phosphoraccumulans,Fluviibacter,Fluviibacteraceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Fluviicola taffensis DSM 16823,strain=DSM 16823,Fluviicola taffensis,Fluviicola,Crocinitomicaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Formosa sp. Hel3_A1_48,strain=Hel3_A1_48,Formosa sp. Hel3_A1_48,Formosa,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Francisella tularensis subsp. holarctica,strain=B-8367,Francisella tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Frankia casuarinae,strain=CcI3,Frankia casuarinae,Frankia,Frankiaceae,Frankiales,Actinomycetia,Actinobacteria,Bacteria
Frateuria aurantia DSM 6220,strain=DSM 6220,Frateuria aurantia,Frateuria,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Frederiksenia canicola,strain=HPA 21,Frederiksenia canicola,Frederiksenia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Frischella perrara,strain=PEB0191,Frischella perrara,Frischella,Orbaceae,Orbales,Gammaproteobacteria,Proteobacteria,Bacteria
Frondihabitans sp. PAMC 28766,strain=SR6,Frondihabitans sp. PAMC 28766,Frondihabitans,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Fructilactobacillus lindneri,strain=TMW 1.1993,Fructilactobacillus lindneri,Fructilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
